noise_std,clip_threshold,epochs,learning_rate,Trial #,Mal. X-val,Mal. Y-val,MSE after attack,AVG MSE,Attack Success Rate
5,1,100000,0.001,1,6,834,1.444912438,0.78,10.00%
,,,,2,3,845,0.3339468945,,
,,,,3,4,525,0.248060197,,
,,,,4,3,622,0.1879151189,,
,,,,5,3,623,0.1867089604,,
,,,,6,2,273,0.02468829061,,
,,,,7,3,325,0.0599519037,,
,,,,8,7,725,1.511406631,,
,,,,9,10,755,3.389513908,,
,,,,10,4,438,0.1787517693,,
,,,,11,9,471,1.086820421,,
,,,,12,7,383,0.4367962527,,
,,,,13,8,285,0.3257887787,,
,,,,14,1,701,0.03536360471,,
,,,,15,9,284,0.4048839327,,
,,,,16,1,882,0.05006764481,,
,,,,17,7,610,1.077857359,,
,,,,18,9,489,1.16205102,,
,,,,19,9,650,2.041116246,,
,,,,20,6,781,1.273369656,,
,,,,21,3,397,0.08311520685,,
,,,,22,2,377,0.03728365985,,
,,,,23,5,750,0.7979719412,,
,,,,24,2,286,0.02648271673,,
,,,,25,8,653,1.624377559,,
,,,,26,1,615,0.02944611818,,
,,,,27,9,923,4.093469714,,
,,,,28,5,572,0.46819029,,
,,,,29,3,963,0.4262256425,,
,,,,30,4,446,0.1841370443,,
,,,,31,9,339,0.5709356352,,
,,,,32,6,233,0.1270011563,,
,,,,33,5,989,1.372546164,,
,,,,34,4,241,0.06231920749,,
,,,,35,9,763,2.80874727,,
,,,,36,4,456,0.1924603207,,
,,,,37,5,542,0.4233294545,,
,,,,38,8,823,2.566396052,,
,,,,39,6,536,0.6077929359,,
,,,,40,3,398,0.08337110975,,
,,,,41,1,257,0.01363688747,,
,,,,42,10,209,0.2778944201,,
,,,,43,10,452,1.236037899,,
,,,,44,4,767,0.5145246455,,
,,,,45,6,421,0.3807599277,,
,,,,46,6,942,1.840022908,,
,,,,47,5,381,0.2179514459,,
,,,,48,4,813,0.5761323488,,
,,,,49,6,705,1.037022079,,
,,,,50,6,635,0.8477418544,,
10,1,100000,0.001,1,3,742,0.2568459757,0.95,16.00%
