Malicious Data Point:,,Variable Values Tested + Difference From Actual Price,,,,,
Size,Price,"noise_std = 8, clip_threshold = 8.0","noise_std = 10, clip_threshold = 8.0","noise_std = 5, clip_threshold = 8.0","noise_std = 5, clip_threshold = 4.0","noise_std = 5, clip_threshold = 2.0","noise_std = 5, clip_threshold = 1.0"
10,337,-1.855768028,4.346991619,-0.229138069,-1.538131456,0.07800435362,-0.3853136822
2,982,-0.0569887661,-0.2125789527,0.2322787408,-0.2227526006,-0.07618365919,0.4269696691
2,461,0.05841051808,0.5786203418,0.01398979481,-0.1475040503,-0.1602782941,-0.04781431943
8,707,-0.8083656022,1.100161935,-0.7717592547,-0.0248856294,-0.1714519505,0.2154551133
7,683,0.09623885976,1.173963282,-0.7092325337,0.4827836695,-0.1761223995,0.2051444651
2,414,-0.2193515252,-0.1370221533,-0.04253267983,-0.01768452232,-0.01908419571,0.164959763
1,699,0.886269659,-0.6418419276,-0.01990726302,0.4253435836,-0.1776563498,0.2267449727
7,599,1.211124168,0.7831775152,-0.7675482137,0.3177405201,0.4722216168,-0.6271259211
1,822,-0.2035896011,0.7883252012,-0.1772515856,-0.1837182196,0.1302452218,0.1228757232
8,912,-1.024174723,0.8193247228,0.1686599156,-0.2138863488,-0.06927690408,0.3659468209
4,472,-0.6076853299,-0.5348761414,-0.089671629,0.08369440806,-0.116827313,-0.05208676064
2,805,-0.3690560477,0.5765912515,-0.1682698804,0.005333323989,0.2447508691,0.04047278931
1,525,0.6799391342,-0.9376602176,0.2395910525,-0.01251157364,-0.08761346633,0.1006970588
1,222,-0.393182255,0.1440037834,-0.4715186034,-0.1721304168,-0.1323715839,0.007406977534
9,865,0.8801312026,-1.464590586,-0.6294005528,-0.4472372606,0.04775072842,-0.1454116021
7,209,-1.014005811,0.6128458765,0.2865271597,0.2979797774,-0.09275508846,0.1490786228
4,902,-0.487521654,-0.6969311877,0.5920114815,-0.5973327968,0.283020594,0.06194095794
1,632,-0.5706642267,-0.3117949589,-0.4566179713,0.3316734123,-0.2682876398,0.3236056771
4,740,-0.3700990126,-0.654919961,-0.1294722248,0.4058730184,-0.09259097364,-0.09826941175
8,982,-0.6649302423,-0.6469192625,0.2032595507,-1.202800615,-0.2339667447,0.2039671501
9,707,-0.8816197589,-1.106071468,1.442011793,0.6821727332,0.5750746002,-0.58906687
6,438,-1.406122023,0.3209409162,-0.01899421073,-0.2932894143,0.104421224,-0.03408921118
4,436,0.1509775827,0.1973056123,-0.1514519796,-0.059368533,0.04611261826,-0.2052481921
8,979,0.4894803258,0.3546202632,-0.882492955,0.1305897916,-0.2430658186,-0.09457014729
1,496,-0.8318724106,0.01107195876,-0.1913238705,-0.1096189031,0.02163610147,0.2133937428
9,626,-2.317918712,-0.3195176138,-0.4505146422,0.4408701838,0.2701676443,0.09905180916
2,857,0.8221737029,-0.3367443179,0.2167658469,0.3597837634,0.2670160654,0.1005982633
5,390,0.04147127109,-0.2729505017,0.7268668826,-0.330044714,-0.1491524049,0.2692712684
6,323,-0.3074448727,0.6038615257,0.485287226,0.2842561839,-0.1634476306,-0.235853284
